"","gls.NOAR.ltrendweak","gls.NOAR.ltrendmed","gls.NOAR.ltrendstrong","gls.NOAR.notrend","gls.medAR.ltrendweak","gls.medAR.ltrendmed","gls.medAR.ltrendstrong","gls.medAR.notrend","gls.strongAR.ltrendweak","gls.strongAR.ltrendmed","gls.strongAR.ltrendstrong","gls.strongAR.notrend"
"1",3,6,6,8,1,2,1,10,1,7,6,9
"2",3,6,6,8,1,2,1,10,1,7,6,9
"3",3,6,6,8,1,2,2,10,1,8,7,9
"4",3,6,6,8,1,2,2,10,1,8,7,9
"5",3,6,6,8,1,2,2,10,1,9,7,9
"6",3,6,6,9,1,2,2,10,1,9,8,9
"7",3,5,6,9,1,2,2,10,1,10,8,9
"8",4,5,6,9,1,3,3,10,1,10,9,9
"9",4,5,6,9,1,3,3,10,1,10,9,9
"10",4,5,5,9,1,3,3,9,1,10,10,9
"11",4,4,5,9,1,3,4,9,1,10,10,9
"12",4,4,5,10,1,4,5,9,1,10,10,9
"13",4,4,5,10,1,4,5,9,1,10,10,9
"14",5,4,5,10,1,5,6,8,1,10,10,9
"15",5,3,4,10,1,5,7,7,1,10,10,8
"16",5,3,4,10,1,6,8,7,1,10,10,8
"17",6,3,4,10,1,6,8,6,1,10,10,8
"18",6,3,4,10,1,7,9,5,1,10,10,7
"19",6,3,4,10,2,7,9,4,1,10,10,7
"20",6,3,4,10,3,8,10,4,1,10,10,7
"21",7,3,4,10,4,8,10,3,1,10,10,6
"22",7,3,3,9,5,8,10,3,1,10,10,6
"23",7,3,3,9,6,9,10,3,1,10,10,6
"24",7,3,3,9,6,9,10,2,1,10,10,5
"25",7,3,3,9,7,9,10,2,1,10,10,5
"26",7,3,3,9,8,9,10,2,1,10,10,5
"27",7,3,3,9,8,9,10,2,1,10,10,5
"28",7,3,3,9,8,9,10,2,1,10,10,4
"29",7,3,3,9,9,9,10,2,1,10,10,4
"30",8,3,3,9,9,9,10,2,1,10,10,4
"31",5,9,4,8,1,5,1,3,1,1,4,10
"32",6,9,4,8,1,5,1,3,1,1,4,10
"33",6,9,4,8,1,4,1,3,1,1,5,10
"34",6,9,4,8,1,4,1,3,1,1,6,10
"35",6,8,4,8,1,4,1,3,1,1,6,10
"36",6,8,5,8,1,4,1,3,1,1,7,10
"37",7,8,5,8,1,3,1,3,1,1,8,10
"38",7,8,5,8,1,3,1,3,1,1,9,10
"39",7,8,5,8,1,2,1,3,1,1,9,9
"40",7,7,5,7,2,2,1,3,1,2,10,8
"41",8,7,5,7,2,2,1,3,1,2,10,7
"42",8,6,5,7,3,1,1,3,1,3,10,5
"43",8,6,5,7,3,1,1,3,1,3,10,3
"44",9,5,5,6,4,1,1,3,1,4,10,1
"45",9,5,6,6,5,1,1,3,1,5,10,1
"46",9,4,6,6,6,1,1,3,1,7,10,1
"47",9,4,6,5,7,1,1,3,1,8,10,1
"48",9,3,6,5,8,1,1,3,1,8,10,1
"49",9,3,6,4,9,1,1,3,2,9,10,1
"50",9,3,6,4,9,1,1,3,2,10,10,1
"51",9,2,6,4,10,1,1,3,2,10,10,1
"52",9,2,6,4,10,1,1,3,2,10,10,1
"53",9,2,7,4,10,1,1,4,2,10,10,1
"54",9,2,7,3,10,1,1,4,3,10,10,1
"55",9,2,7,3,10,1,1,4,3,10,10,1
"56",9,2,7,3,10,1,1,4,3,10,10,1
"57",9,2,7,3,10,1,1,4,3,10,10,1
"58",9,2,7,3,10,1,1,4,3,10,10,1
"59",9,2,7,3,10,1,1,4,4,10,10,1
"60",9,2,7,3,10,1,1,4,4,10,10,1
