"","replicate","var","timeseries length","Trend strength","AR strength","method","Value"
"1",1,"p","10","medium trend","medium AR","gls",0.0553535051271676
"2",1,"p","10","medium trend","no AR","gls",0.995115744747939
"3",1,"p","10","medium trend","strong AR","gls",0.534741085424173
"4",1,"p","10","no trend","medium AR","gls",0.315698170940485
"5",1,"p","10","no trend","no AR","gls",0.400048460432513
"6",1,"p","10","no trend","strong AR","gls",0.914532392392832
"7",1,"p","10","strong trend","medium AR","gls",0.00144074776023734
"8",1,"p","10","strong trend","no AR","gls",0.12341663498767
"9",1,"p","10","strong trend","strong AR","gls",0.0639141085138471
"10",1,"p","10","weak trend","medium AR","gls",0.27986491078886
"11",1,"p","10","weak trend","no AR","gls",0.437204709411346
"12",1,"p","10","weak trend","strong AR","gls",0.960273472618907
"13",1,"p","20","medium trend","medium AR","gls",0.0293566052699544
"14",1,"p","20","medium trend","no AR","gls",0.039956028365024
"15",1,"p","20","medium trend","strong AR","gls",0.103681998043501
"16",1,"p","20","no trend","medium AR","gls",0.119201440465526
"17",1,"p","20","no trend","no AR","gls",0.97428244420002
"18",1,"p","20","no trend","strong AR","gls",0.660664557691618
"19",1,"p","20","strong trend","medium AR","gls",0.00399206669660295
"20",1,"p","20","strong trend","no AR","gls",2.39227918808312e-06
"21",1,"p","20","strong trend","strong AR","gls",1.00502575310689e-05
"22",1,"p","20","weak trend","medium AR","gls",0.105470770765931
"23",1,"p","20","weak trend","no AR","gls",0.888806477899549
"24",1,"p","20","weak trend","strong AR","gls",0.784475174969267
"25",1,"p","30","medium trend","medium AR","gls",0.022198987045643
"26",1,"p","30","medium trend","no AR","gls",0.000893522263009184
"27",1,"p","30","medium trend","strong AR","gls",0.684102748215713
"28",1,"p","30","no trend","medium AR","gls",0.496242089849067
"29",1,"p","30","no trend","no AR","gls",0.870354542466892
"30",1,"p","30","no trend","strong AR","gls",0.0233962151187514
"31",1,"p","30","strong trend","medium AR","gls",0.000602212710569913
"32",1,"p","30","strong trend","no AR","gls",4.82577698882176e-12
"33",1,"p","30","strong trend","strong AR","gls",0.00221504917536621
"34",1,"p","30","weak trend","medium AR","gls",0.400118440529684
"35",1,"p","30","weak trend","no AR","gls",0.891823366844575
"36",1,"p","30","weak trend","strong AR","gls",0.030447474798347
"37",2,"p","10","medium trend","medium AR","gls",0.0174399488694855
"38",2,"p","10","medium trend","no AR","gls",0.555516312070842
"39",2,"p","10","medium trend","strong AR","gls",0.775951300601061
"40",2,"p","10","no trend","medium AR","gls",0.130402414478667
"41",2,"p","10","no trend","no AR","gls",0.220311495231625
"42",2,"p","10","no trend","strong AR","gls",0.708982528793762
"43",2,"p","10","strong trend","medium AR","gls",0.000401167729599895
"44",2,"p","10","strong trend","no AR","gls",0.503677997840944
"45",2,"p","10","strong trend","strong AR","gls",0.145981591524429
"46",2,"p","10","weak trend","medium AR","gls",0.112426369509098
"47",2,"p","10","weak trend","no AR","gls",0.238901126242498
"48",2,"p","10","weak trend","strong AR","gls",0.747513338787797
"49",2,"p","20","medium trend","medium AR","gls",0.0396403120466244
"50",2,"p","20","medium trend","no AR","gls",0.587279106141664
"51",2,"p","20","medium trend","strong AR","gls",0.1756511459061
"52",2,"p","20","no trend","medium AR","gls",0.813377715462779
"53",2,"p","20","no trend","no AR","gls",0.258809383001453
"54",2,"p","20","no trend","strong AR","gls",0.999065204752867
"55",2,"p","20","strong trend","medium AR","gls",9.85350706636415e-07
"56",2,"p","20","strong trend","no AR","gls",0.0010905570050396
"57",2,"p","20","strong trend","strong AR","gls",0.00412396586451119
"58",2,"p","20","weak trend","medium AR","gls",0.961841084682351
"59",2,"p","20","weak trend","no AR","gls",0.316424984903928
"60",2,"p","20","weak trend","strong AR","gls",0.914910505970629
"61",2,"p","30","medium trend","medium AR","gls",0.566595776073026
"62",2,"p","30","medium trend","no AR","gls",0.0122487339574089
"63",2,"p","30","medium trend","strong AR","gls",0.0312306002812955
"64",2,"p","30","no trend","medium AR","gls",0.122117400817311
"65",2,"p","30","no trend","no AR","gls",0.605083019864512
"66",2,"p","30","no trend","strong AR","gls",0.916614020122343
"67",2,"p","30","strong trend","medium AR","gls",0.00349384878285419
"68",2,"p","30","strong trend","no AR","gls",1.04728546267017e-09
"69",2,"p","30","strong trend","strong AR","gls",0.000344170944422636
"70",2,"p","30","weak trend","medium AR","gls",0.158617821683654
"71",2,"p","30","weak trend","no AR","gls",0.786968016747674
"72",2,"p","30","weak trend","strong AR","gls",0.772790592325691
"73",3,"p","10","medium trend","medium AR","gls",0.537700138991988
"74",3,"p","10","medium trend","no AR","gls",0.000764022768155773
"75",3,"p","10","medium trend","strong AR","gls",0.00532408890047947
