"","var","timeseries length","method","Value","Trend strength","AR strength"
"1","p","30","pw",0.000785946846008301,"no trend","medium AR"
"2","p","30","pw",0.836526393890381,"no trend","medium AR"
"3","p","30","pw",0.119489692151546,"no trend","medium AR"
"4","p","30","pw",0.895532846450806,"no trend","medium AR"
"5","p","30","pw",0.955123364925385,"no trend","medium AR"
"6","p","30","pw",0.338738322257996,"no trend","medium AR"
"7","p","30","pw",0.0810719728469849,"no trend","medium AR"
"8","p","30","pw",0.00364327430725098,"no trend","medium AR"
"9","p","30","pw",0.128661155700684,"no trend","medium AR"
"10","p","30","pw",0.237301766872406,"no trend","medium AR"
"11","p","30","pw",0.666151762008667,"no trend","medium AR"
"12","p","30","pw",0.0256011486053467,"no trend","medium AR"
"13","p","30","pw",0.398606419563293,"no trend","medium AR"
"14","p","30","pw",0.807343244552612,"no trend","medium AR"
"15","p","30","pw",0.985034108161926,"no trend","medium AR"
"16","p","30","pw",0.895532846450806,"no trend","medium AR"
"17","p","30","pw",0.102689743041992,"no trend","medium AR"
"18","p","30","pw",0.119489692151546,"no trend","medium AR"
"19","p","30","pw",0.721538662910461,"no trend","medium AR"
"20","p","30","pw",0.284975290298462,"no trend","medium AR"
"21","p","30","pw",0.00519073009490967,"no trend","medium AR"
"22","p","30","pw",0.666151762008667,"no trend","medium AR"
"23","p","30","pw",0.69364058971405,"no trend","medium AR"
"24","p","30","pw",0.487651884555817,"no trend","medium AR"
"25","p","30","pw",0.222740173339844,"no trend","medium AR"
"26","p","30","pw",0.0155294826254249,"no trend","medium AR"
"27","p","30","pw",0.00410497188568115,"no trend","medium AR"
"28","p","30","pw",0.487651884555817,"no trend","medium AR"
"29","p","30","pw",0.985034108161926,"no trend","medium AR"
"30","p","30","pw",0.0046190288849175,"no trend","medium AR"
"31","p","30","pw",0.302215814590454,"no trend","medium AR"
"32","p","30","pw",0.749812126159668,"no trend","medium AR"
"33","p","30","pw",0.419898927211761,"no trend","medium AR"
"34","p","30","pw",0.419898986816406,"no trend","medium AR"
"35","p","30","pw",0.398606419563293,"no trend","medium AR"
"36","p","30","pw",0.666151762008667,"no trend","medium AR"
"37","p","30","pw",0.69364058971405,"no trend","medium AR"
"38","p","30","pw",0.69364058971405,"no trend","medium AR"
"39","p","30","pw",0.320136606693268,"no trend","medium AR"
"40","p","30","pw",0.955123364925385,"no trend","medium AR"
"41","p","30","pw",0.749812126159668,"no trend","medium AR"
"42","p","30","pw",0.586452603340149,"no trend","medium AR"
"43","p","30","pw",0.044737696647644,"no trend","medium AR"
"44","p","30","pw",0.302215814590454,"no trend","medium AR"
"45","p","30","pw",0.159470498561859,"no trend","medium AR"
"46","p","30","pw",0.320136606693268,"no trend","medium AR"
"47","p","30","pw",0.487651824951172,"no trend","medium AR"
"48","p","30","pw",0.252523362636566,"no trend","medium AR"
"49","p","30","pw",0.37797749042511,"no trend","medium AR"
"50","p","30","pw",1,"no trend","medium AR"
"51","p","30","pw",0.535905838012695,"no trend","medium AR"
"52","p","30","pw",0.148634716868401,"no trend","medium AR"
"53","p","30","pw",0.0101741552352905,"no trend","medium AR"
"54","p","30","pw",0.00730953924357891,"no trend","medium AR"
"55","p","30","pw",0.320136606693268,"no trend","medium AR"
"56","p","30","pw",0.535905778408051,"no trend","medium AR"
"57","p","30","pw",0.441845536231995,"no trend","medium AR"
"58","p","30","pw",0.511481761932373,"no trend","medium AR"
"59","p","30","pw",0.0533495955169201,"no trend","medium AR"
"60","p","30","pw",0.268412590026855,"no trend","medium AR"
"61","p","30","pw",0.398606419563293,"no trend","medium AR"
"62","p","30","pw",0.00133834267035127,"no trend","medium AR"
"63","p","30","pw",0.170893430709839,"no trend","medium AR"
"64","p","30","pw",1,"no trend","medium AR"
"65","p","30","pw",0.195559620857239,"no trend","medium AR"
"66","p","30","pw",0.778425931930542,"no trend","medium AR"
"67","p","30","pw",0.119489692151546,"no trend","medium AR"
"68","p","30","pw",0.836526393890381,"no trend","medium AR"
"69","p","30","pw",0.284975290298462,"no trend","medium AR"
"70","p","30","pw",0.925275802612305,"no trend","medium AR"
"71","p","30","pw",0.955123364925385,"no trend","medium AR"
"72","p","30","pw",0.0810719728469849,"no trend","medium AR"
"73","p","30","pw",0.000519990921020508,"no trend","medium AR"
"74","p","30","pw",0.252523422241211,"no trend","medium AR"
"75","p","30","pw",0.836526393890381,"no trend","medium AR"
"76","p","30","pw",0.182918548583984,"no trend","medium AR"
"77","p","30","pw",0.836526393890381,"no trend","medium AR"
"78","p","30","pw",0.0126020219177008,"no trend","medium AR"
"79","p","30","pw",0.222740173339844,"no trend","medium AR"
"80","p","30","pw",0.86593621969223,"no trend","medium AR"
"81","p","30","pw",0.0447376854717731,"no trend","medium AR"
"82","p","30","pw",0.666151762008667,"no trend","medium AR"
"83","p","30","pw",0.138370409607887,"no trend","medium AR"
"84","p","30","pw",0.721538662910461,"no trend","medium AR"
"85","p","30","pw",0.69364058971405,"no trend","medium AR"
"86","p","30","pw",0.721538662910461,"no trend","medium AR"
"87","p","30","pw",0.92527574300766,"no trend","medium AR"
"88","p","30","pw",0.170893475413322,"no trend","medium AR"
"89","p","30","pw",0.222740232944489,"no trend","medium AR"
"90","p","30","pw",0.955123364925385,"no trend","medium AR"
"91","p","30","pw",0.778425931930542,"no trend","medium AR"
"92","p","30","pw",0.0155294826254249,"no trend","medium AR"
"93","p","30","pw",0.37797749042511,"no trend","medium AR"
"94","p","30","pw",0.441845536231995,"no trend","medium AR"
"95","p","30","pw",0.268412530422211,"no trend","medium AR"
"96","p","30","pw",0.110838584601879,"no trend","medium AR"
"97","p","30","pw",0.419898927211761,"no trend","medium AR"
"98","p","30","pw",0.985034108161926,"no trend","medium AR"
"99","p","30","pw",0.836526393890381,"no trend","medium AR"
"100","p","30","pw",0.237301766872406,"no trend","medium AR"
"101","p","20","pw",0.107542872428894,"no trend","medium AR"
"102","p","20","pw",0.401102542877197,"no trend","medium AR"
"103","p","20","pw",1,"no trend","medium AR"
"104","p","20","pw",0.00962740182876587,"no trend","medium AR"
"105","p","20","pw",0.674611926078796,"no trend","medium AR"
"106","p","20","pw",0.441488146781921,"no trend","medium AR"
"107","p","20","pw",0.123715177178383,"no trend","medium AR"
"108","p","20","pw",0.141726016998291,"no trend","medium AR"
"109","p","20","pw",0.0117701292037964,"no trend","medium AR"
"110","p","20","pw",0.94421660900116,"no trend","medium AR"
"111","p","20","pw",0.262910544872284,"no trend","medium AR"
"112","p","20","pw",0.234239339828491,"no trend","medium AR"
"113","p","20","pw",0.00635508587583899,"no trend","medium AR"
"114","p","20","pw",0.107542835175991,"no trend","medium AR"
"115","p","20","pw",0.674611926078796,"no trend","medium AR"
"116","p","20","pw",1,"no trend","medium AR"
"117","p","20","pw",1,"no trend","medium AR"
"118","p","20","pw",0.401102542877197,"no trend","medium AR"
"119","p","20","pw",0.363020420074463,"no trend","medium AR"
"120","p","20","pw",0.575636863708496,"no trend","medium AR"
"121","p","20","pw",0.014325737953186,"no trend","medium AR"
"122","p","20","pw",0.441488146781921,"no trend","medium AR"
"123","p","20","pw",0.888705611228943,"no trend","medium AR"
"124","p","20","pw",0.107542872428894,"no trend","medium AR"
"125","p","20","pw",0.94421660900116,"no trend","medium AR"
"126","p","20","pw",0.888705611228943,"no trend","medium AR"
"127","p","20","pw",0.00783956050872803,"no trend","medium AR"
"128","p","20","pw",0.293917179107666,"no trend","medium AR"
"129","p","20","pw",0.0930920839309692,"no trend","medium AR"
"130","p","20","pw",0.000783341296482831,"no trend","medium AR"
"131","p","20","pw",1,"no trend","medium AR"
"132","p","20","pw",0.234239280223846,"no trend","medium AR"
"133","p","20","pw",0.441488146781921,"no trend","medium AR"
"134","p","20","pw",0.327285528182983,"no trend","medium AR"
"135","p","20","pw",1,"no trend","medium AR"
"136","p","20","pw",0.94421660900116,"no trend","medium AR"
"137","p","20","pw",0.575636863708496,"no trend","medium AR"
"138","p","20","pw",0.624276876449585,"no trend","medium AR"
"139","p","20","pw",0.00262317131273448,"no trend","medium AR"
"140","p","20","pw",0.575636863708496,"no trend","medium AR"
"141","p","20","pw",0.441488146781921,"no trend","medium AR"
"142","p","20","pw",0.833735227584839,"no trend","medium AR"
"143","p","20","pw",0.726446986198425,"no trend","medium AR"
"144","p","20","pw",0.0117701292037964,"no trend","medium AR"
"145","p","20","pw",0.0802428796887398,"no trend","medium AR"
"146","p","20","pw",0.779566049575806,"no trend","medium AR"
"147","p","20","pw",0.327285528182983,"no trend","medium AR"
"148","p","20","pw",0.528864502906799,"no trend","medium AR"
"149","p","20","pw",0.0688733384013176,"no trend","medium AR"
"150","p","20","pw",0.0117701292037964,"no trend","medium AR"
"151","p","20","pw",0.94421660900116,"no trend","medium AR"
"152","p","20","pw",0.141725972294807,"no trend","medium AR"
"153","p","20","pw",0.0930920839309692,"no trend","medium AR"
"154","p","20","pw",0.0358050726354122,"no trend","medium AR"
"155","p","20","pw",0.833735227584839,"no trend","medium AR"
"156","p","20","pw",0.327285528182983,"no trend","medium AR"
"157","p","20","pw",0.293917179107666,"no trend","medium AR"
"158","p","20","pw",0.327285587787628,"no trend","medium AR"
"159","p","20","pw",0.674611926078796,"no trend","medium AR"
"160","p","20","pw",0.674611926078796,"no trend","medium AR"
"161","p","20","pw",0.624276876449585,"no trend","medium AR"
"162","p","20","pw",0.0209409352391958,"no trend","medium AR"
"163","p","20","pw",0.0588622093200684,"no trend","medium AR"
"164","p","20","pw",0.779566049575806,"no trend","medium AR"
"165","p","20","pw",0.234239339828491,"no trend","medium AR"
"166","p","20","pw",0.484107494354248,"no trend","medium AR"
"167","p","20","pw",0.0251509342342615,"no trend","medium AR"
"168","p","20","pw",0.441488146781921,"no trend","medium AR"
"169","p","20","pw",0.674611926078796,"no trend","medium AR"
"170","p","20","pw",0.726446986198425,"no trend","medium AR"
"171","p","20","pw",0.363020420074463,"no trend","medium AR"
"172","p","20","pw",0.0930920839309692,"no trend","medium AR"
"173","p","20","pw",0.401102542877197,"no trend","medium AR"
"174","p","20","pw",0.107542872428894,"no trend","medium AR"
"175","p","20","pw",0.161686182022095,"no trend","medium AR"
"176","p","20","pw",0.014325737953186,"no trend","medium AR"
"177","p","20","pw",0.107542872428894,"no trend","medium AR"
"178","p","20","pw",0.327285587787628,"no trend","medium AR"
"179","p","20","pw",0.363020360469818,"no trend","medium AR"
"180","p","20","pw",0.484107494354248,"no trend","medium AR"
"181","p","20","pw",0.0802428796887398,"no trend","medium AR"
"182","p","20","pw",0.00262320041656494,"no trend","medium AR"
"183","p","20","pw",0.0209409352391958,"no trend","medium AR"
"184","p","20","pw",0.234239339828491,"no trend","medium AR"
"185","p","20","pw",0.674611926078796,"no trend","medium AR"
"186","p","20","pw",0.0500903129577637,"no trend","medium AR"
"187","p","20","pw",0.441488146781921,"no trend","medium AR"
"188","p","20","pw",0.0117701645940542,"no trend","medium AR"
"189","p","20","pw",0.0930921360850334,"no trend","medium AR"
"190","p","20","pw",0.726446986198425,"no trend","medium AR"
